Type,Vehicle name,Frequency
FHV,000fac2a06f444905b68abdbbed4bd3f,8
FHV,001e7caf26fff9af3f64c914636b65b9,8.625
FHV,00216e36c1be24663d497226eed34873,11.4
FHV,004d1a1f5b512f2f0cca298c96352899,6
FHV,00597f360d7d4369435e50ab1cf47565,2
FHV,00b05c1c0207dd1189f5305fee7db949,9.875
FHV,00c178299fd2ae24727bbe5f6916508d,14.71794872
FHV,00fac274a976bda0f329830c527185ef,5.5
FHV,00ff3a6f10dcad5dce0374621d7e7edf,18.5625
FHV,0112f1b929c55fa09be094200403bc61,20.77777778
FHV,0113a15eae6ef4e7c253271cd6a2e1fc,9.1875
FHV,014954209f967d30587f22b4e1c46614,11.77777778
FHV,0181e33554f51b62e209a403164d3c92,3.625
FHV,019b47cc0bb44f06e122e99a8da2b15a,25.625
FHV,01c7c8ebd8b208c5202056d0c0cd887a,13.92307692
FHV,01cd426a3b4c3e551c4b16405bdbe407,1.5
FHV,01df2d693d268542d8b1813f0be73042,11.925
FHV,021441d8de49cc9778dbd4df115ba833,9.25
FHV,0280542b9ce748940c28064358361d31,13.77777778
FHV,02e28af57ab4ad0babf53ead02e7a30f,23.11111111
FHV,032f104e678bd7c91a7f4fb2b1826849,5.862068966
FHV,037bc76b6bb46c4921508d2a46487da0,5.8
FHV,037c4217a6987f913caf66f2f6c1db4d,20
FHV,0399e4bdceaa06701430aacf281bc4b0,3
FHV,0437cbc42c9c3ec2dc9d4a82afd25162,4
FHV,043a88a9b9addfda5e1c8c6f25f97505,3.785714286
FHV,043fe1b8d0d3db1e59177636e8824b5a,7.925925926
FHV,048ee4dc63603af313d22d76e12f3b9e,22.84615385
FHV,0496b1fde192300c559137cb544db46a,1.5
FHV,04a2d6c4f9bcc548b573723180195ebe,20.08695652
FHV,04c5f910877217d83613dca60d667d27,12.5
FHV,04f74fd2b245548eefb0cc0b557e2085,7.727272727
FHV,04ff59289987dfd2e88fb4bd858f2d43,13.64
FHV,0511b3befa1f03888be6ce45811ec90b,20.96
FHV,0542a2db02e2070caa5560f039c6aa18,6.416666667
FHV,055f52e4c9df7c104af3266f21062a5f,17.33333333
FHV,056bdd74929be8fd5c70c8ef096e0009,2
FHV,05cd5238ecaefd4b48c0fc0ef1c29c9c,8.85
FHV,060b9802c21114d85fa3829a9cdcdb77,26.8
FHV,063451b0cb9703e13e739a0c002ee4f6,4.5
FHV,06a8cb57f95e703fb83dba78917dfbea,10.39285714
FHV,06aa62036e7273b550f51ef32f458412,4.619047619
FHV,06c52a10107bed6ab56f5f0db1014e50,7.555555556
FHV,07325e82496396ada00bd9d4fd6538ae,4.111111111
FHV,0732a66cae2ec27ea44bf6a9cedcadd9,11.75
FHV,0740d3654482ecdf914ed75ea1274534,6.3125
FHV,0757ec0b3c3cde4934d91d9949da21e3,7.142857143
FHV,076ccbae88f6e7d902bde3a4c83542a6,1.5
FHV,077326df233e939a20a5e2e8e6469e7f,6.115384615
FHV,07735b086fd1e80904ae6e3993253d74,5.333333333
FHV,07772311ad5ba4fb08fe83af0985adf3,5.6
FHV,077eacdfe5cf6ebea26e49b89468af4b,8.379310345
FHV,078a846696dc86f7a83afb6fb34d0ca5,23.3
FHV,07bfebcebbd50d303dc8353a78ec911e,9
FHV,07c886fe0584d4bb142f0cf95cd84caa,7.714285714
FHV,085fae31cafc1097194b9879b45e0c51,9.346153846
FHV,0885778854fff5c0fed3cc1731507b8a,15.375
FHV,08ebd6115bf1dae6ddcb08b8557520fd,18.1875
FHV,08f40ab8b4b36930d537f8873ad3f53c,6.392857143
FHV,08f97637f4e3e77fef86d89e9f18140f,22.25
FHV,092c8f885dad3a7b12fdad296202ea13,7.925925926
FHV,09aaa254e416c223d0c7b3a3f8fb9181,16.75
FHV,09fffdc94b31e780f0c84c06c1ee6d6a,15.42857143
FHV,0a03598ea1c3892e8413bd4f59c652e1,5.444444444
FHV,0a24dcb521af149379727d43b6f73b82,2.571428571
FHV,0a2b2b97e3911cb69ef48c848ad7a095,8.828571429
FHV,0abb39e776a35a54ed44cd51f5b7a07b,7.3
FHV,0adbc48aa4fb527a9a298045551fe99f,18.375
FHV,0ae8b8989e3c37ce0055468a434c8210,9
FHV,0b2b5bc6c5042eb291ef070af7c5f004,4.705882353
FHV,0b6bbfee8996dc0d3c29af12b79595c9,5.4
FHV,0b99eda4f54fe357129e790738ec86ac,1
FHV,0bac07756a8f2a6fc2bc926b8add9c78,51.6875
FHV,0bcd4762447ec17dd47a85aba48ced79,16.075
FHV,0c04a8f358ca2e05c1045e921df33f56,16.13333333
FHV,0c08ab1e458fddaa363faeaa1fba2817,3.25
FHV,0c0d556a994fd9c40d2d6bc8eb29d863,12.91666667
FHV,0c1a65d879c9e26e57824e9ed9ba9ee9,3.666666667
FHV,0c33e2d44b18bbf759a36b5237fdca13,7.296296296
FHV,0c3bab455b06bf23b82ad252a5cce56d,4.75
FHV,0c485e2f4bfe0afa752cfe673eccd8a0,20.13333333
